id,ccode,date,statenme,year,gwf_casename,coup,milcoup,nonmilcoup,success,type,cwc_coding,type2,cwc_coding2,srofficial,jrofficer,sameeth,anyethclaim,coupleadereth,relative,relationship,anyoutsidesupport,outsidesupporters,coder,ambiguous,staged
40-1952-3-10,40,3/10/1952,Cuba,1952,Cuba 44-52,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,0,1,1,0,,0,,1,Ex-President Fulgencio Batista,JC,,
40-1957-9-5,40,9/5/1957,Cuba,1957,Cuba 52-59,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,"Fidel Castro's M-26-7, Auténtico Party",JC,,
41-1946-1-11,41,1/11/1946,Haiti,1946,Haiti 41-46,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,Protestors; United States,JC,,
41-1950-5-10,41,5/10/1950,Haiti,1950,Haiti 46-50,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,0,0,1,0,,0,,1,United States,JC,,
41-1957-4-2,41,4/2/1957,Haiti,1957,Haiti 56-57,Coup,Military Coup,0,1,PR,successful provisional coup,SH,successful reshuffling coup,0,0,1,0,,0,,0,,JC,,
41-1957-5-20,41,5/20/1957,Haiti,1957,Haiti 56-57,Coup,Military Coup,0,2,PR,failed provisional coup,SH,failed reshuffling coup,0,0,1,0,,0,,0,,JC,,
41-1957-6-14,41,6/14/1957,Haiti,1957,Haiti 56-57,Coup,Military Coup,0,1,PR,successful provisional coup,CH,successful regime change coup,0,0,1,0,,0,,1,Francois Duvalier Supporters,JC,,
41-1970-4-24,41,4/24/1970,Haiti,1970,Haiti 57-86,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,0,,JC,,
41-1986-2-7,41,2/7/1986,Haiti,1986,Haiti 57-86,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,"Protestors, United States",JC,1,
41-1988-6-17,41,6/17/1988,Haiti,1988,Haiti 86-88,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,JC,,
41-1988-9-17,41,9/17/1988,Haiti,1988,Haiti 86-88,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,1,1,0,,0,,0,,JC,,
41-1989-4-2,41,4/2/1989,Haiti,1989,Haiti 88-90,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,0,,JC,,
41-1989-4-5,41,4/5/1989,Haiti,1989,Haiti 88-90,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,0,,JC,,
41-1990-3-10,41,3/10/1990,Haiti,1990,Haiti 88-90,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,Protestors; U.S. Ambassador Alvin P. Adams,JC,1,
41-1991-1-6,41,1/6/1991,Haiti,1991,Haiti 90-91,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,0,1,1,0,,0,,1,"Duvalierists, Tonton Macoutes",JC,,
41-1991-9-30,41,9/30/1991,Haiti,1991,Haiti 90-91,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,0,0,1,0,,0,,1,Duvalierists,JC,,
42-1961-5-30,42,5/30/1961,Dominican Republic,1961,Dominican Rep 30-62,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,United States; Anti-Trujillo civilians,JC,1,
42-1962-1-16,42,1/16/1962,Dominican Republic,1962,Dominican Rep 30-62,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,JC,,
42-1962-1-18,42,1/18/1962,Dominican Republic,1962,Dominican Rep 30-62,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,1,1,0,,0,,1,"United States, UCN",JC,,
42-1963-9-25,42,9/25/1963,Dominican Republic,1963,Dominican Rep 62-63,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
42-1965-4-25,42,4/25/1965,Dominican Republic,1965,Dominican Rep 63-65,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,Dominican Revolutionary Party (PRD),JC,,
55-1983-10-14,55,10/14/1983,Grenada,1983,Grenada 79-83,Coup,Non-Military Coup,1,2,NM,failed non-military coup,SH,failed reshuffling coup,,,1,0,,,,,,,,
55-1983-10-19,55,10/19/1983,Grenada,1983,Grenada 79-83,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,,,1,0,,,,,,,,
90-1949-7-18,90,7/18/1949,Guatemala,1949,Guatemala 44-54,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
90-1953-3-29,90,3/29/1953,Guatemala,1953,Guatemala 44-54,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,1
90-1954-6-27,90,6/27/1954,Guatemala,1954,Guatemala 44-54,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,1,0,1,0,,0,,1,CIA,JC,,
90-1954-6-29,90,6/29/1954,Guatemala,1954,Guatemala 54-54 (new),Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,0,0,1,0,,0,,1,CIA,JC,,
90-1954-7-8,90,7/8/1954,Guatemala,1954,Guatemala 54-54 (new),Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,1,0,1,0,,0,,1,CIA,JC,,
90-1954-8-2,90,8/2/1954,Guatemala,1954,Guatemala 54-58,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Arbenz allies,JC,,
90-1955-1-20,90,1/20/1955,Guatemala,1955,Guatemala 54-58,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Armed civilians; Arbenz supporters,JC,,
90-1957-10-24,90,10/24/1957,Guatemala,1957,Guatemala 54-58,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,1,Ydigoras supporters,JC,,
