Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
07/03/1995,_IPDCPD,280.48,-0.004754808,-1.34,183.9213115
07/04/1995,_IPDCPD,281.93,0.005169709,1.45,184.8721311
07/05/1995,_IPDCPD,285.06,0.011102047,3.13,186.9245902
07/06/1995,_IPDCPD,288.28,0.011295868,3.22,189.0360656
07/07/1995,_IPDCPD,292.7,0.015332316,4.42,191.9344262
07/10/1995,_IPDCPD,294.72,0.006901264,2.02,193.2590164
07/11/1995,_IPDCPD,292.09,-0.008923724,-2.63,191.5344262
07/12/1995,_IPDCPD,294.34,0.007703105,2.25,193.0098361
07/13/1995,_IPDCPD,296.65,0.007848067,2.31,194.5245902
07/14/1995,_IPDCPD,296.07,-0.001955166,-0.58,194.1442623
07/17/1995,_IPDCPD,296.04,-0.000101327,-0.03,194.1245902
07/18/1995,_IPDCPD,295.02,-0.00344548,-1.02,193.4557377
07/19/1995,_IPDCPD,291.26,-0.012744899,-3.76,190.9901639
07/20/1995,_IPDCPD,291.49,0.000789672,0.23,191.1409836
07/21/1995,_IPDCPD,290.37,-0.003842327,-1.12,190.4065574
07/24/1995,_IPDCPD,290.77,0.001377553,0.4,190.6688525
07/25/1995,_IPDCPD,290.54,-0.000791003,-0.23,190.5180328
07/26/1995,_IPDCPD,289.7,-0.002891168,-0.84,189.9672131
07/27/1995,_IPDCPD,290.73,0.003555402,1.03,190.642623
07/28/1995,_IPDCPD,290.4,-0.001135074,-0.33,190.4262295
07/31/1995,_IPDCPD,290.45,0.000172176,0.05,190.4590164
08/01/1995,_IPDCPD,290.52,0.000241005,0.07,190.0065402
08/02/1995,_IPDCPD,293.3,0.009569049,2.78,191.824722
08/03/1995,_IPDCPD,294.34,0.003545857,1.04,192.5049052
08/04/1995,_IPDCPD,295.32,0.003329483,0.98,193.145847
08/07/1995,_IPDCPD,295.25,-0.000237031,-0.07,193.1000654
08/08/1995,_IPDCPD,294.62,-0.002133785,-0.63,192.6880314
08/09/1995,_IPDCPD,294.11,-0.001731043,-0.51,192.3544801
08/10/1995,_IPDCPD,293.99,-0.000408011,-0.12,192.2759974
08/11/1995,_IPDCPD,291.2,-0.009490119,-2.79,190.4512753
08/14/1995,_IPDCPD,288.68,-0.008653846,-2.52,188.8031393
08/15/1995,_IPDCPD,288.11,-0.001974505,-0.57,188.4303466
08/16/1995,_IPDCPD,286.3,-0.006282323,-1.81,187.2465664
08/17/1995,_IPDCPD,285.87,-0.001501921,-0.43,186.9653368
08/18/1995,_IPDCPD,285.67,-0.000699619,-0.2,186.8345324
08/21/1995,_IPDCPD,285.34,-0.001155179,-0.33,186.618705
08/22/1995,_IPDCPD,285.22,-0.000420551,-0.12,186.5402224
08/23/1995,_IPDCPD,285.27,0.000175303,0.05,186.5729235
08/24/1995,_IPDCPD,284.4,-0.003049742,-0.87,186.0039241
08/25/1995,_IPDCPD,284.32,-0.000281294,-0.08,185.9516024
08/28/1995,_IPDCPD,284.4,0.000281373,0.08,186.0039241
08/29/1995,_IPDCPD,282.66,-0.006118143,-1.74,184.8659254
08/30/1995,_IPDCPD,281.47,-0.004210005,-1.19,184.087639
08/31/1995,_IPDCPD,282.3,0.002948804,0.83,184.6304774
09/01/1995,_IPDCPD,282.99,0.002444208,0.69,184.7193211
09/04/1995,_IPDCPD,283.5,0.001802184,0.51,185.0522193
09/05/1995,_IPDCPD,282.49,-0.00356261,-1.01,184.3929504
09/06/1995,_IPDCPD,283.06,0.002017771,0.57,184.7650131
09/07/1995,_IPDCPD,283.18,0.000423938,0.12,184.843342
09/08/1995,_IPDCPD,283.22,0.000141253,0.04,184.8694517
09/11/1995,_IPDCPD,284.12,0.003177742,0.9,185.4569191
09/12/1995,_IPDCPD,284.27,0.000527946,0.15,185.5548303
09/13/1995,_IPDCPD,285.39,0.003939916,1.12,186.2859008
09/14/1995,_IPDCPD,285.36,-0.000105119,-0.03,186.2663185
09/15/1995,_IPDCPD,285.31,-0.000175217,-0.05,186.2336815
09/18/1995,_IPDCPD,284.87,-0.001542182,-0.44,185.9464752
09/19/1995,_IPDCPD,284.37,-0.001755187,-0.5,185.6201044
09/20/1995,_IPDCPD,283.46,-0.003200056,-0.91,185.0261097
09/21/1995,_IPDCPD,283.75,0.001023072,0.29,185.2154047
09/22/1995,_IPDCPD,283.66,-0.000317181,-0.09,185.156658
09/25/1995,_IPDCPD,281.4,-0.007967285,-2.26,183.6814621
09/26/1995,_IPDCPD,279.57,-0.006503198,-1.83,182.4869452
09/27/1995,_IPDCPD,277.9,-0.005973459,-1.67,181.3968668
09/28/1995,_IPDCPD,277.83,-0.000251889,-0.07,181.3511749
09/29/1995,_IPDCPD,279.56,0.006226829,1.73,182.4804178
10/02/1995,_IPDCPD,276.49,-0.010981542,-3.07,179.8893949
10/03/1995,_IPDCPD,274.69,-0.006510181,-1.8,178.7182824
10/04/1995,_IPDCPD,275.6,0.003312825,0.91,179.3103448
10/05/1995,_IPDCPD,277.67,0.007510885,2.07,180.6571243
10/06/1995,_IPDCPD,279.39,0.006194403,1.72,181.7761874
10/09/1995,_IPDCPD,278.31,-0.003865564,-1.08,181.0735198
10/10/1995,_IPDCPD,275.61,-0.009701412,-2.7,179.316851
10/11/1995,_IPDCPD,276.1,0.001777875,0.49,179.6356539
10/12/1995,_IPDCPD,275.78,-0.001159,-0.32,179.4274561
10/13/1995,_IPDCPD,275.81,0.000108782,0.03,179.4469746
10/16/1995,_IPDCPD,276.58,0.002791777,0.77,179.9479506
10/17/1995,_IPDCPD,277,0.001518548,0.42,180.2212101
10/18/1995,_IPDCPD,278.26,0.004548736,1.26,181.0409889
10/19/1995,_IPDCPD,277.44,-0.002946884,-0.82,180.5074821
10/20/1995,_IPDCPD,277.83,0.001405709,0.39,180.7612232
10/23/1995,_IPDCPD,276.88,-0.003419357,-0.95,180.143136
10/24/1995,_IPDCPD,275.66,-0.004406241,-1.22,179.3493819
10/25/1995,_IPDCPD,273.86,-0.006529783,-1.8,178.1782694
10/26/1995,_IPDCPD,270.53,-0.012159498,-3.33,176.0117111
10/27/1995,_IPDCPD,269.81,-0.002661442,-0.72,175.5432661
10/30/1995,_IPDCPD,269.44,-0.001371335,-0.37,175.3025374
10/31/1995,_IPDCPD,268.73,-0.002635095,-0.71,174.8405986
11/01/1995,_IPDCPD,266.68,-0.007628475,-2.05,173.6197917
11/02/1995,_IPDCPD,265.86,-0.003074846,-0.82,173.0859375
11/03/1995,_IPDCPD,265.67,-0.000714662,-0.19,172.9622396
11/06/1995,_IPDCPD,265.68,3.76407E-05,0.01,172.96875
11/07/1995,_IPDCPD,265.04,-0.002408913,-0.64,172.5520833
11/08/1995,_IPDCPD,264.17,-0.003282523,-0.87,171.9856771
11/09/1995,_IPDCPD,263.81,-0.001362759,-0.36,171.7513021
11/10/1995,_IPDCPD,261.89,-0.007277965,-1.92,170.5013021
11/13/1995,_IPDCPD,257.82,-0.015540876,-4.07,167.8515625
11/14/1995,_IPDCPD,257.21,-0.002365992,-0.61,167.4544271
11/15/1995,_IPDCPD,256.91,-0.001166362,-0.3,167.2591146
11/16/1995,_IPDCPD,258.57,0.006461407,1.66,168.3398438
11/17/1995,_IPDCPD,260.1,0.00591716,1.53,169.3359375
11/20/1995,_IPDCPD,259.3,-0.00307574,-0.8,168.8151042
11/21/1995,_IPDCPD,261.88,0.009949865,2.58,170.4947917
11/22/1995,_IPDCPD,263.87,0.0075989,1.99,171.7903646
11/23/1995,_IPDCPD,263.72,-0.000568462,-0.15,171.6927083
11/24/1995,_IPDCPD,263.09,-0.002388897,-0.63,171.2825521
11/27/1995,_IPDCPD,262.49,-0.002280588,-0.6,170.8919271
11/28/1995,_IPDCPD,264.42,0.007352661,1.93,172.1484375
11/29/1995,_IPDCPD,265.86,0.005445882,1.44,173.0859375
11/30/1995,_IPDCPD,266.88,0.003836606,1.02,173.75
12/01/1995,_IPDCPD,269.17,0.008580635,2.29,175.3550489
12/04/1995,_IPDCPD,271.13,0.007281644,1.96,176.6319218
12/05/1995,_IPDCPD,272.02,0.003282558,0.89,177.2117264
12/06/1995,_IPDCPD,273.96,0.007131829,1.94,178.47557
12/07/1995,_IPDCPD,274.8,0.003066141,0.84,179.0228013
12/08/1995,_IPDCPD,273.11,-0.006149927,-1.69,177.9218241
12/11/1995,_IPDCPD,272.41,-0.00256307,-0.7,177.465798
12/12/1995,_IPDCPD,273.68,0.00466209,1.27,178.2931596
12/13/1995,_IPDCPD,272.85,-0.003032739,-0.83,177.752443
12/14/1995,_IPDCPD,272.31,-0.001979109,-0.54,177.4006515
12/15/1995,_IPDCPD,272.37,0.000220337,0.06,177.4397394
12/18/1995,_IPDCPD,271.57,-0.002937181,-0.8,176.9185668
12/19/1995,_IPDCPD,271.08,-0.001804323,-0.49,176.5993485
12/20/1995,_IPDCPD,274.69,0.013317102,3.61,178.9511401
12/21/1995,_IPDCPD,277.59,0.010557356,2.9,180.8403909
12/22/1995,_IPDCPD,278.17,0.002089412,0.58,181.218241
12/25/1995,_IPDCPD,278.17,0,0,181.218241
12/26/1995,_IPDCPD,277.19,-0.003523025,-0.98,180.5798046
12/27/1995,_IPDCPD,276.06,-0.004076626,-1.13,179.8436482
12/28/1995,_IPDCPD,275.68,-0.001376512,-0.38,179.5960912
12/29/1995,_IPDCPD,275.79,0.000399013,0.11,179.6677524
01/01/1996,_IPDCPD,275.79,0,0,178.6204663
01/02/1996,_IPDCPD,277.29,0.005438921,1.5,179.5919689
01/03/1996,_IPDCPD,285.74,0.030473511,8.45,185.0647668
01/04/1996,_IPDCPD,288.47,0.00955414,2.73,186.8329016
01/05/1996,_IPDCPD,288.81,0.001178632,0.34,187.0531088
01/08/1996,_IPDCPD,290.59,0.006163221,1.78,188.2059585
01/09/1996,_IPDCPD,289.86,-0.00251213,-0.73,187.7331606
01/10/1996,_IPDCPD,289.1,-0.002621955,-0.76,187.2409326
01/11/1996,_IPDCPD,290.7,0.005534417,1.6,188.2772021
01/12/1996,_IPDCPD,293.83,0.010767114,3.13,190.3044041
01/15/1996,_IPDCPD,294.75,0.003131062,0.92,190.9002591
01/16/1996,_IPDCPD,295.24,0.001662426,0.49,191.2176166
01/17/1996,_IPDCPD,295.33,0.000304837,0.09,191.2759067
01/18/1996,_IPDCPD,293.59,-0.005891714,-1.74,190.1489637
01/19/1996,_IPDCPD,296.68,0.010524882,3.09,192.1502591
01/22/1996,_IPDCPD,299.67,0.010078199,2.99,194.0867876
01/23/1996,_IPDCPD,300.55,0.002936564,0.88,194.6567358
01/24/1996,_IPDCPD,298.3,-0.007486275,-2.25,193.1994819
01/25/1996,_IPDCPD,298.3,0,0,193.1994819
01/26/1996,_IPDCPD,297,-0.004358029,-1.3,192.357513
01/29/1996,_IPDCPD,296.11,-0.002996633,-0.89,191.7810881
01/30/1996,_IPDCPD,297.95,0.006213907,1.84,192.9727979
01/31/1996,_IPDCPD,298.66,0.00238295,0.71,193.4326425
02/01/1996,_IPDCPD,301.05,0.008002411,2.39,194.3511943
02/02/1996,_IPDCPD,305.23,0.013884737,4.18,197.0497095
