Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
01/02/1992,_A31,102.7,,,74.36640116
01/03/1992,_A31,104.44,0.016942551,1.74,75.62635771
01/06/1992,_A31,106.17,0.016564535,1.73,76.87907314
01/07/1992,_A31,104.07,-0.019779599,-2.1,75.35843592
01/08/1992,_A31,103.9,-0.001633516,-0.17,75.23533671
01/09/1992,_A31,103.73,-0.001636189,-0.17,75.11223751
01/10/1992,_A31,105.52,0.017256339,1.79,76.40839971
01/13/1992,_A31,106.91,0.013172858,1.39,77.41491673
01/14/1992,_A31,108.34,0.013375737,1.43,78.45039826
01/15/1992,_A31,108.35,9.2302E-05,0.01,78.45763939
01/16/1992,_A31,110.2,0.017074296,1.85,79.79724837
01/17/1992,_A31,110.54,0.003085299,0.34,80.04344678
01/20/1992,_A31,111.95,0.012755564,1.41,81.06444605
01/21/1992,_A31,113.22,0.01134435,1.27,81.98406951
01/22/1992,_A31,113.39,0.001501502,0.17,82.10716872
01/23/1992,_A31,116.78,0.029896816,3.39,84.56191166
01/24/1992,_A31,120.5,0.03185477,3.72,87.25561188
01/27/1992,_A31,118.76,-0.014439834,-1.74,85.99565532
01/28/1992,_A31,119.39,0.005304816,0.63,86.45184649
01/29/1992,_A31,118.07,-0.011056202,-1.32,85.49601738
01/30/1992,_A31,114.25,-0.032353688,-3.82,82.72990587
01/31/1992,_A31,115.33,0.009452954,1.08,83.51194786
02/03/1992,_A31,113.6,-0.015000434,-1.73,81.96248196
02/04/1992,_A31,114.66,0.009330986,1.06,82.72727273
02/05/1992,_A31,113.21,-0.012646084,-1.45,81.68109668
02/06/1992,_A31,113.19,-0.000176663,-0.02,81.66666667
02/07/1992,_A31,115.01,0.016079159,1.82,82.97979798
02/10/1992,_A31,115.06,0.000434745,0.05,83.01587302
02/11/1992,_A31,114.99,-0.000608378,-0.07,82.96536797
02/12/1992,_A31,117.39,0.02087138,2.4,84.6969697
02/13/1992,_A31,116.55,-0.007155635,-0.84,84.09090909
02/14/1992,_A31,117.76,0.01038181,1.21,84.96392496
02/17/1992,_A31,117.92,0.001358696,0.16,85.07936508
02/18/1992,_A31,118.39,0.003985753,0.47,85.41847042
02/19/1992,_A31,120.27,0.01587972,1.88,86.77489177
02/20/1992,_A31,123.16,0.024029267,2.89,88.86002886
02/21/1992,_A31,124.34,0.009581033,1.18,89.71139971
02/24/1992,_A31,124.41,0.000562972,0.07,89.76190476
02/25/1992,_A31,123.25,-0.009324009,-1.16,88.92496392
02/26/1992,_A31,124.94,0.013711968,1.69,90.14430014
02/27/1992,_A31,127,0.016487914,2.06,91.63059163
02/28/1992,_A31,127.99,0.007795276,0.99,92.34487734
03/02/1992,_A31,128.93,0.007344324,0.94,92.55563532
03/03/1992,_A31,129.45,0.004033196,0.52,92.92893037
03/04/1992,_A31,126.2,-0.025106219,-3.25,90.59583632
03/05/1992,_A31,127.86,0.013153724,1.66,91.78750897
03/06/1992,_A31,126.45,-0.011027687,-1.41,90.7753051
03/09/1992,_A31,124.87,-0.012495057,-1.58,89.64106246
03/10/1992,_A31,125.13,0.002082165,0.26,89.82770998
03/11/1992,_A31,124.36,-0.0061536,-0.77,89.27494616
03/12/1992,_A31,123.34,-0.008201994,-1.02,88.54271357
03/13/1992,_A31,123.13,-0.001702611,-0.21,88.3919598
03/16/1992,_A31,122.09,-0.008446358,-1.04,87.64536971
03/17/1992,_A31,124.08,0.016299451,1.99,89.07394113
03/18/1992,_A31,124.05,-0.000241779,-0.03,89.05240488
03/19/1992,_A31,123.69,-0.002902056,-0.36,88.79396985
03/20/1992,_A31,125.67,0.016007761,1.98,90.21536253
03/23/1992,_A31,126.97,0.010344553,1.3,91.14860014
03/24/1992,_A31,127.23,0.002047728,0.26,91.33524767
03/25/1992,_A31,127.05,-0.001414761,-0.18,91.20603015
03/26/1992,_A31,126.73,-0.002518693,-0.32,90.97631012
03/27/1992,_A31,126.42,-0.002446145,-0.31,90.75376884
03/30/1992,_A31,126.27,-0.001186521,-0.15,90.64608758
03/31/1992,_A31,127.68,0.011166548,1.41,91.65829146
04/01/1992,_A31,127.12,-0.004385965,-0.56,91.12544803
04/02/1992,_A31,127.41,0.002281309,0.29,91.33333333
04/03/1992,_A31,128.34,0.00729927,0.93,92
04/06/1992,_A31,129.71,0.01067477,1.37,92.98207885
04/07/1992,_A31,128.04,-0.012874875,-1.67,91.78494624
04/08/1992,_A31,124.75,-0.025695095,-3.29,89.4265233
04/09/1992,_A31,126.08,0.010661323,1.33,90.37992832
04/10/1992,_A31,129.65,0.028315355,3.57,92.9390681
04/13/1992,_A31,131.11,0.011261088,1.46,93.98566308
04/14/1992,_A31,131.78,0.005110213,0.67,94.46594982
04/15/1992,_A31,133.2,0.010775535,1.42,95.48387097
04/16/1992,_A31,133.32,0.000900901,0.12,95.56989247
04/17/1992,_A31,133.06,-0.001950195,-0.26,95.38351254
04/20/1992,_A31,132.76,-0.002254622,-0.3,95.16845878
04/21/1992,_A31,132.58,-0.00135583,-0.18,95.03942652
04/22/1992,_A31,133.9,0.009956253,1.32,95.98566308
04/23/1992,_A31,132.09,-0.01351755,-1.81,94.68817204
04/24/1992,_A31,129.87,-0.016806723,-2.22,93.09677419
04/27/1992,_A31,126.89,-0.022946023,-2.98,90.96057348
04/28/1992,_A31,125.84,-0.008274884,-1.05,90.2078853
04/29/1992,_A31,124.95,-0.007072473,-0.89,89.56989247
04/30/1992,_A31,124.99,0.000320128,0.04,89.59856631
05/01/1992,_A31,125.16,0.001360109,0.17,89.59198282
05/04/1992,_A31,124.4,-0.006072228,-0.76,89.04795991
05/05/1992,_A31,125.01,0.004903537,0.61,89.48460988
05/06/1992,_A31,126.3,0.010319174,1.29,90.40801718
05/07/1992,_A31,126.32,0.000158353,0.02,90.42233357
05/08/1992,_A31,127.02,0.005541482,0.7,90.9234073
05/11/1992,_A31,127.89,0.006849315,0.87,91.54617037
05/12/1992,_A31,129.79,0.014856517,1.9,92.90622763
05/13/1992,_A31,128.67,-0.008629324,-1.12,92.10450966
05/14/1992,_A31,128.24,-0.003341882,-0.43,91.79670723
05/15/1992,_A31,128.09,-0.001169682,-0.15,91.68933429
05/18/1992,_A31,125.9,-0.017097353,-2.19,90.12168933
05/19/1992,_A31,126.31,0.003256553,0.41,90.41517538
05/20/1992,_A31,126.65,0.00269179,0.34,90.65855404
05/21/1992,_A31,124.97,-0.013264903,-1.68,89.45597709
05/22/1992,_A31,124.29,-0.005441306,-0.68,88.96921976
05/25/1992,_A31,122.48,-0.014562716,-1.81,87.67358626
05/26/1992,_A31,121.94,-0.004408883,-0.54,87.28704366
05/27/1992,_A31,123.41,0.012055109,1.47,88.3392985
05/28/1992,_A31,123.74,0.002674013,0.33,88.57551897
05/29/1992,_A31,125.89,0.017375141,2.15,90.11453114
06/01/1992,_A31,128.03,0.016998967,2.14,91.31954351
06/02/1992,_A31,126.97,-0.00827931,-1.06,90.56348074
06/03/1992,_A31,125.43,-0.012128849,-1.54,89.46504993
06/04/1992,_A31,124.33,-0.008769832,-1.1,88.68045649
06/05/1992,_A31,123.83,-0.004021556,-0.5,88.32382311
06/08/1992,_A31,122.56,-0.010255996,-1.27,87.41797432
06/09/1992,_A31,121.6,-0.007832898,-0.96,86.73323823
06/10/1992,_A31,120.06,-0.012664474,-1.54,85.63480742
06/11/1992,_A31,121.11,0.008745627,1.05,86.38373752
06/12/1992,_A31,119.86,-0.010321196,-1.25,85.49215407
06/15/1992,_A31,116.01,-0.032120808,-3.85,82.74607703
06/16/1992,_A31,112.87,-0.027066632,-3.14,80.5064194
06/17/1992,_A31,107.76,-0.045273323,-5.11,76.86162625
06/18/1992,_A31,109.24,0.013734224,1.48,77.91726106
06/19/1992,_A31,111.82,0.023617722,2.58,79.7574893
06/22/1992,_A31,108.32,-0.031300304,-3.5,77.26105563
06/23/1992,_A31,107.34,-0.009047267,-0.98,76.56205421
06/24/1992,_A31,104.8,-0.023663127,-2.54,74.75035663
06/25/1992,_A31,106.57,0.016889313,1.77,76.0128388
06/26/1992,_A31,107.79,0.011447875,1.22,76.88302425
06/29/1992,_A31,105.6,-0.020317284,-2.19,75.32097004
06/30/1992,_A31,105.08,-0.004924242,-0.52,74.95007133
07/01/1992,_A31,107.78,0.025694709,2.7,76.71174377
07/02/1992,_A31,109.8,0.018741882,2.02,78.14946619
07/03/1992,_A31,108.73,-0.009744991,-1.07,77.38790036
07/06/1992,_A31,109.03,0.002759128,0.3,77.60142349
07/07/1992,_A31,108.13,-0.008254609,-0.9,76.96085409
07/08/1992,_A31,108.11,-0.000184963,-0.02,76.94661922
07/09/1992,_A31,107.75,-0.003329942,-0.36,76.69039146
07/10/1992,_A31,110.53,0.025800464,2.78,78.66903915
07/13/1992,_A31,113.24,0.02451823,2.71,80.59786477
07/14/1992,_A31,114.3,0.00936065,1.06,81.35231317
07/15/1992,_A31,114.97,0.005861767,0.67,81.82918149
07/16/1992,_A31,117.09,0.018439593,2.12,83.33807829
07/17/1992,_A31,115.68,-0.012042019,-1.41,82.33451957
07/20/1992,_A31,112.4,-0.02835408,-3.28,80
07/21/1992,_A31,110.77,-0.014501779,-1.63,78.83985765
07/22/1992,_A31,107.86,-0.026270651,-2.91,76.76868327
07/23/1992,_A31,107.08,-0.007231597,-0.78,76.21352313
07/24/1992,_A31,105.87,-0.011299963,-1.21,75.35231317
07/27/1992,_A31,106.11,0.002266931,0.24,75.52313167
07/28/1992,_A31,108.47,0.022241071,2.36,77.20284698
07/29/1992,_A31,106.25,-0.020466488,-2.22,75.6227758
07/30/1992,_A31,106.95,0.006588235,0.7,76.12099644
07/31/1992,_A31,107.84,0.008321646,0.89,76.7544484
08/03/1992,_A31,105.47,-0.021977003,-2.37,74.85450674
08/04/1992,_A31,104.5,-0.009196928,-0.97,74.16607523
08/05/1992,_A31,103.67,-0.007942584,-0.83,73.57700497
08/06/1992,_A31,104.66,0.009549532,0.99,74.27963094
08/07/1992,_A31,105.76,0.010510224,1.1,75.06032647
08/10/1992,_A31,106.2,0.004160363,0.44,75.37260468
08/11/1992,_A31,105.03,-0.011016949,-1.17,74.54222853
08/12/1992,_A31,105.61,0.005522232,0.58,74.95386799
08/13/1992,_A31,103.45,-0.020452609,-2.16,73.42086586
08/14/1992,_A31,102.62,-0.0080232,-0.83,72.8317956
08/17/1992,_A31,101.77,-0.008282986,-0.85,72.22853087
08/18/1992,_A31,101.21,-0.005502604,-0.56,71.83108588
08/19/1992,_A31,101.09,-0.001185654,-0.12,71.74591909
08/20/1992,_A31,99.19,-0.018795133,-1.9,70.397445
08/21/1992,_A31,98.76,-0.004335114,-0.43,70.09226402
08/24/1992,_A31,98.25,-0.005164034,-0.51,69.73030518
08/25/1992,_A31,98.06,-0.001933842,-0.19,69.59545777
08/26/1992,_A31,100.74,0.027330206,2.68,71.49751597
08/27/1992,_A31,102.46,0.017073655,1.72,72.71823989
08/28/1992,_A31,102.85,0.003806363,0.39,72.99503194
08/31/1992,_A31,101.38,-0.014292659,-1.47,71.95173882
09/01/1992,_A31,100.73,-0.006411521,-0.65,71.28803963
09/02/1992,_A31,99.39,-0.013302889,-1.34,70.33970276
09/03/1992,_A31,98.35,-0.010463829,-1.04,69.60368011
09/04/1992,_A31,99.14,0.008032537,0.79,70.16277424
09/07/1992,_A31,98.56,-0.005850313,-0.58,69.75230007
09/08/1992,_A31,99.2,0.006493506,0.64,70.20523708
09/09/1992,_A31,97.37,-0.018447581,-1.83,68.91012031
09/10/1992,_A31,95.77,-0.016432166,-1.6,67.77777778
09/11/1992,_A31,95.23,-0.005638509,-0.54,67.39561217
09/14/1992,_A31,97.04,0.019006616,1.81,68.67657466
09/15/1992,_A31,96.14,-0.009274526,-0.9,68.03963199
09/16/1992,_A31,95.64,-0.005200749,-0.5,67.68577495
09/17/1992,_A31,94.56,-0.011292346,-1.08,66.92144374
09/18/1992,_A31,93.57,-0.010469543,-0.99,66.22080679
09/21/1992,_A31,93.21,-0.003847387,-0.36,65.96602972
09/22/1992,_A31,93.54,0.003540393,0.33,66.19957537
09/23/1992,_A31,92.7,-0.008980115,-0.84,65.60509554
09/24/1992,_A31,93.79,0.01175836,1.09,66.37650389
09/25/1992,_A31,94.4,0.006503892,0.61,66.80820948
09/28/1992,_A31,94.28,-0.001271186,-0.12,66.72328379
09/29/1992,_A31,95.31,0.010924905,1.03,67.4522293
09/30/1992,_A31,95.93,0.006505089,0.62,67.89101203
10/01/1992,_A31,96.3,0.003856979,0.37,67.91255289
