Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
01/02/1992,_P31,99.42,,,71.99131064
01/03/1992,_P31,99.38,-0.000402334,-0.04,71.96234613
01/06/1992,_P31,101.21,0.018414168,1.83,73.28747285
01/07/1992,_P31,100.83,-0.00375457,-0.38,73.01230992
01/08/1992,_P31,100.78,-0.000495884,-0.05,72.97610427
01/09/1992,_P31,99.89,-0.008831117,-0.89,72.33164374
01/10/1992,_P31,99.03,-0.00860947,-0.86,71.70890659
01/13/1992,_P31,99.07,0.000403918,0.04,71.73787111
01/14/1992,_P31,100.61,0.015544564,1.54,72.85300507
01/15/1992,_P31,101,0.003876354,0.39,73.13540912
01/16/1992,_P31,103.28,0.022574257,2.28,74.78638668
01/17/1992,_P31,104.27,0.009585593,0.99,75.50325851
01/20/1992,_P31,104.92,0.006233816,0.65,75.97393193
01/21/1992,_P31,106.22,0.012390393,1.3,76.91527878
01/22/1992,_P31,106.3,0.000753154,0.08,76.97320782
01/23/1992,_P31,106.18,-0.001128881,-0.12,76.88631427
01/24/1992,_P31,106.85,0.00631004,0.67,77.37146995
01/27/1992,_P31,106.52,-0.003088442,-0.33,77.13251267
01/28/1992,_P31,106.31,-0.001971461,-0.21,76.98044895
01/29/1992,_P31,107.32,0.009500517,1.01,77.71180304
01/30/1992,_P31,106.66,-0.006149832,-0.66,77.23388849
01/31/1992,_P31,107.1,0.004125258,0.44,77.55249819
02/03/1992,_P31,107.65,0.005135387,0.55,77.66955267
02/04/1992,_P31,107.93,0.002601022,0.28,77.87157287
02/05/1992,_P31,107.83,-0.000926526,-0.1,77.7994228
02/06/1992,_P31,109.04,0.011221367,1.21,78.67243867
02/07/1992,_P31,109.98,0.00862069,0.94,79.35064935
02/10/1992,_P31,110.61,0.005728314,0.63,79.80519481
02/11/1992,_P31,109.51,-0.009944851,-1.1,79.01154401
02/12/1992,_P31,108.74,-0.007031321,-0.77,78.45598846
02/13/1992,_P31,108.07,-0.006161486,-0.67,77.97258297
02/14/1992,_P31,107.9,-0.001573055,-0.17,77.84992785
02/17/1992,_P31,107.42,-0.004448563,-0.48,77.5036075
02/18/1992,_P31,108.45,0.009588531,1.03,78.24675325
02/19/1992,_P31,109.34,0.008206547,0.89,78.88888889
02/20/1992,_P31,109.78,0.004024145,0.44,79.20634921
02/21/1992,_P31,109.26,-0.004736746,-0.52,78.83116883
02/24/1992,_P31,109.49,0.00210507,0.23,78.997114
02/25/1992,_P31,109.16,-0.003013974,-0.33,78.75901876
02/26/1992,_P31,108.64,-0.00476365,-0.52,78.38383838
02/27/1992,_P31,108.33,-0.002853461,-0.31,78.16017316
02/28/1992,_P31,109.01,0.006277116,0.68,78.65079365
03/02/1992,_P31,108.86,-0.001376021,-0.15,78.14788227
03/03/1992,_P31,106.94,-0.017637332,-1.92,76.7695621
03/04/1992,_P31,106.97,0.000280531,0.03,76.79109835
03/05/1992,_P31,106.49,-0.004487239,-0.48,76.44651831
03/06/1992,_P31,105.99,-0.004695277,-0.5,76.08758076
03/09/1992,_P31,104.94,-0.009906595,-1.05,75.33381192
03/10/1992,_P31,105.32,0.003621117,0.38,75.60660445
03/11/1992,_P31,106.12,0.007595898,0.8,76.18090452
03/12/1992,_P31,106.47,0.003298153,0.35,76.4321608
03/13/1992,_P31,106.56,0.000845309,0.09,76.49676956
03/16/1992,_P31,106.13,-0.004035285,-0.43,76.18808327
