Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
01/01/1976,_MIWO00D,100.86,,,181.4028777
01/02/1976,_MIWO00D,101.6,0.007336903,0.74,182.7338129
01/05/1976,_MIWO00D,103.09,0.014665354,1.49,185.4136691
01/06/1976,_MIWO00D,104.1,0.009797265,1.01,187.2302158
01/07/1976,_MIWO00D,104.57,0.00451489,0.47,188.0755396
01/08/1976,_MIWO00D,104.85,0.002677632,0.28,188.5791367
01/09/1976,_MIWO00D,105.19,0.003242728,0.34,189.1906475
01/12/1976,_MIWO00D,106.28,0.010362202,1.09,191.1510791
01/13/1976,_MIWO00D,105.63,-0.00611592,-0.65,189.9820144
01/14/1976,_MIWO00D,106.54,0.008614977,0.91,191.618705
01/15/1976,_MIWO00D,106.49,-0.000469307,-0.05,191.528777
01/16/1976,_MIWO00D,106.8,0.002911071,0.31,192.0863309
01/19/1976,_MIWO00D,107.57,0.007209738,0.77,193.471223
01/20/1976,_MIWO00D,107.92,0.003253695,0.35,194.1007194
01/21/1976,_MIWO00D,107.26,-0.006115641,-0.66,192.9136691
01/22/1976,_MIWO00D,106.88,-0.003542793,-0.38,192.2302158
01/23/1976,_MIWO00D,107.98,0.010291916,1.1,194.2086331
01/26/1976,_MIWO00D,108.45,0.004352658,0.47,195.0539568
01/27/1976,_MIWO00D,108,-0.004149378,-0.45,194.2446043
01/28/1976,_MIWO00D,107.68,-0.002962963,-0.32,193.6690647
01/29/1976,_MIWO00D,108.76,0.010029718,1.08,195.6115108
01/30/1976,_MIWO00D,109.64,0.00809121,0.88,197.1942446
02/02/1976,_MIWO00D,109.74,0.000912076,0.1,196.6666667
02/03/1976,_MIWO00D,109.87,0.001184618,0.13,196.8996416
02/04/1976,_MIWO00D,110.63,0.006917266,0.76,198.2616487
02/05/1976,_MIWO00D,109.6,-0.009310314,-1.03,196.4157706
02/06/1976,_MIWO00D,108.68,-0.008394161,-0.92,194.7670251
02/09/1976,_MIWO00D,108.37,-0.002852411,-0.31,194.2114695
