Event Number,Ticker,Country,Leader,Year,Post
1,_IBGD,Argentina,Juan Carlos Onganía,1967,0
1,_IBGD,Argentina,Juan Carlos Onganía,1968,0
1,_IBGD,Argentina,Juan Carlos Onganía,1969,0
1,_IBGD,Argentina,Juan Carlos Onganía,1970,0
1,_IBGD,Argentina,Roberto M. Levingston,1971,1
2,_IBGD,Argentina,Roberto M. Levingston,1971,0
2,_IBGD,Argentina,Alejandro A. Lanusse,1972,1
2,_IBGD,Argentina,Alejandro A. Lanusse,1973,1
3,_IBGD,Argentina,Isabel Martínez de Perón,1975,0
3,_IBGD,Argentina,Isabel Martínez de Perón,1976,0
3,_IBGD,Argentina,Jorge Rafael Videla,1977,1
3,_IBGD,Argentina,Jorge Rafael Videla,1978,1
3,_IBGD,Argentina,Jorge Rafael Videla,1979,1
3,_IBGD,Argentina,Jorge Rafael Videla,1980,1
3,_IBGD,Argentina,Jorge Rafael Videla,1981,1
4,_SETID,Thailand,Seni Pramoj,1976,0
4,_SETID,Thailand,Thanin Kraivichien,1977,1
5,_SETID,Thailand,Thanin Kraivichien,1977,0
5,_SETID,Thailand,Kriangsak Chomanan,1978,1
5,_SETID,Thailand,Kriangsak Chomanan,1979,1
5,_SETID,Thailand,Kriangsak Chomanan,1980,1
6,_KS11D,South Korea,Choi Kyu-ha,1980,0
6,_KS11D,South Korea,Chun Doo-hwan,1981,1
6,_KS11D,South Korea,Chun Doo-hwan,1982,1
6,_KS11D,South Korea,Chun Doo-hwan,1983,1
6,_KS11D,South Korea,Chun Doo-hwan,1984,1
6,_KS11D,South Korea,Chun Doo-hwan,1985,1
6,_KS11D,South Korea,Chun Doo-hwan,1986,1
6,_KS11D,South Korea,Chun Doo-hwan,1987,1
6,_KS11D,South Korea,Chun Doo-hwan,1988,1
6,_KS11D,South Korea,Chun Doo-hwan,1989,1
7,_SETID,Thailand,Chatichai Choonhavan,1989,0
7,_SETID,Thailand,Chatichai Choonhavan,1990,0
7,_SETID,Thailand,Chatichai Choonhavan,1991,0
7,_SETID,Thailand,Chatichai Choonhavan,1992,1
8,_IGRAD,Peru,Alberto Fujimori,1991,0
