country,ticker,leader,name,start_date,end_date
Philippines,_PSID,Ferdinand Marcos,EDSA 1,2/22/1986,2/26/1986
Bangladesh,BDDSEXD,Hussain Muhammad Ershad, Bangladeshi Spring 1990,11/27/1990,12/7/1990
Thailand,_SETID,Deng Xiaoping,Black May,5/17/1992,5/20/1992
Indonesia,_JKSED,Suharto,Indonesian Revolution,5/12/1998,5/21/1998
Philippines,_PSID,Joseph Estrada,EDSA II,1/17/2001,1/20/2001
Argentina,_IBGD,Fernando de la Rœa,Argentina Riots,12/16/2001,12/20/2001
Ukraine,_PFTSID,Viktor Yanukovych,Orange Revolution,11/22/2004,1/23/2005
Ecuador,_BVGD,Lucio Gutierrez, Ecuadorian Protests, 4/13/2005, 4/20/2005
Nepal,_NEPSED,Gyanendra Shah,2006 Democracy Movement,4/6/2006,4/25/2006
Tunisia,_TUNINDD,Zine el Abidine Ben Ali,Tunisian Revolution,12/18/2010,1/14/2011
Egypt,_EFGID,Hosni Mubarak,Egyptian Revolution,1/25/2011,3/23/2011
